City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Kibuye,RW,2021-12-12 18:49:59,-2.0597,29.3482,66.36,81,100,2.3
174,Surin,TH,2021-12-12 18:50:00,14.8818,103.4936,72.0,67,77,16.11
175,Aripuana,BR,2021-12-12 18:49:23,-9.1667,-60.6333,83.21,82,100,3.96
176,Waverley,ZA,2021-12-12 18:50:00,-25.7023,28.2591,71.53,56,100,5.12
177,Mecca,SA,2021-12-12 18:50:00,21.4267,39.8261,74.82,62,81,2.95
178,Lalmohan,BD,2021-12-12 18:50:01,22.3384,90.7419,66.27,56,0,10.18
179,Mascota,MX,2021-12-12 18:50:01,20.5167,-104.7833,81.32,30,39,3.78
180,Rebrikha,RU,2021-12-12 18:50:01,53.0733,82.3408,-4.76,100,21,5.57
181,Caravelas,BR,2021-12-12 18:46:09,-17.7125,-39.2481,81.84,67,28,10.51
182,Saldanha,ZA,2021-12-12 18:50:02,-33.0117,17.9442,66.25,91,99,14.14
183,Hope,US,2021-12-12 18:50:02,33.6671,-93.5916,53.98,35,0,5.41
184,Lebu,CL,2021-12-12 18:48:10,-37.6167,-73.65,58.14,58,2,9.44
185,Kruisfontein,ZA,2021-12-12 18:51:02,-34.0033,24.7314,69.89,85,100,10.74
186,Bethel,US,2021-12-12 18:51:03,41.3712,-73.414,47.53,38,1,3.0
187,San Quintin,MX,2021-12-12 18:51:03,30.4833,-115.95,63.23,50,0,7.43
188,Bundi,IN,2021-12-12 18:51:03,25.4417,75.6417,59.13,47,3,4.54
189,Alice Springs,AU,2021-12-12 18:48:58,-23.7,133.8833,65.75,52,27,5.75
190,Thompson,CA,2021-12-12 18:51:04,55.7435,-97.8558,-0.24,85,90,2.3
191,Mimongo,GA,2021-12-12 18:51:04,-1.6195,11.6068,71.49,96,100,0.31
192,Harper,LR,2021-12-12 18:51:04,4.375,-7.7169,80.44,80,68,8.55
193,Penzance,GB,2021-12-12 18:51:05,50.1186,-5.5371,52.81,85,100,27.69
194,Mount Gambier,AU,2021-12-12 18:51:05,-37.8333,140.7667,62.51,48,12,9.22
195,Uni,RU,2021-12-12 18:51:05,57.7535,51.4923,0.39,97,23,5.93
196,Hobbs,US,2021-12-12 18:47:53,32.7026,-103.136,65.35,19,1,5.99
197,Cherskiy,RU,2021-12-12 18:51:06,68.75,161.3,-42.65,100,47,1.66
198,Homer,US,2021-12-12 18:51:06,59.6425,-151.5483,13.87,81,1,4.61
199,Ngunguru,NZ,2021-12-12 18:50:09,-35.6167,174.5,70.16,93,100,8.25
200,Ialibu,PG,2021-12-12 18:51:06,-6.2821,143.9935,57.6,98,100,0.98
201,Acapulco,MX,2021-12-12 18:51:07,16.8634,-99.8901,87.62,66,1,2.3
202,Port Lincoln,AU,2021-12-12 18:51:07,-34.7333,135.8667,60.48,77,87,16.35
203,Ambulu,ID,2021-12-12 18:51:07,-8.345,113.6058,78.13,89,97,2.44
